nama_pemilik_perusahaan,alamat_pemilik_perusahaan,telepon,npwp_perusahaan,direktur_perusahaan,mitra,jenis,no_spbu,mulai_beroperasi,kode_spbu,wilayah_spbu,alamat_spbu,kelurahan_spbu,kecamatan_spbu,izin_terakhir,tanggal_izin,berlaku_sampai,keterangan
PUAN MAHARANI,"Jl. Kebagusan IV No. 45 RT010/RW04, Kebagusan, Pasar Minggu, Jakarta Selatan 12520","(021) 8303744, (021) 6690878",,,Pertamina,SPBU,34-14403,,JU/202/2008/II/P,Jakarta Utara,"Jl. Pluit Selatan Raya RT004/RW08, Pluit, Penjaringan, Jakarta Utara 14440",Pluit,Penjaringan,115/2009,18/08/2009,18/08/2010,Expired
NY. NURUL AINI SOEKIRNO,"Jl. Rawamangun Muka Timur No. 27, Jakarta Timur",(021) 6192255,,,Pertamina,SPBU,34-14404,,JU/073/2008/II/P,Jakarta Utara,"Jl. Raya Kapuk No. 36, Kapuk Muara, Penjaringan, Jakarta Utara 14460",Kapuk Muara,Penjaringan,290/2008,12/05/2008,12/05/2009,Expired
PT. PERUSAHAAN PERDAGANGAN INDONESIA (Ex. PT. Dharma Niaga),"Jl. Malaka VII No. 9 RT006/RW02, Roa Malaka, Tambora, Jakarta Barat 11230","(021) 38612141, (021) 3862115",,,Pertamina,SPBU,34-14405,,JU/285/2008/II/P,Jakarta Utara,"Jl. Kampung Bandan No. 30-31, Ancol, Pademangan, Jakarta Utara 14430",Ancol,Pademangan,118/2011,27/09/2011,,PJ/Selama Masih Beroperasi
KOPERASI PEGAWAI NEGERI DINAS PERIKANAN DKI JKT,"Jl. Gunung Sahari Raya No. 11 Lt. 8, Jakarta Pusat","(021) 6630615, (021) 66604187",,,Pertamina,SPBU,34-14406,,JU/291/2010/II,Jakarta Utara,"Komp. Pelelangan Ikan Muara Angke, Pluit, Penjaringan, Jakarta Utara 14440",Pluit,Penjaringan,97/2010,20/08/2010,20/08/2015,Perpanjangan
PT. METRO PRIMA INVESTAMA,"Jl. Jembatan III Blok F4/5, Penjaringan, Penjaringan, Jakarta Utara 14460","(021) 5349884, (021) 5349939",,Wiliam Widyanata,Pertamina,SPBU,34-14407,,JU/061/2007/II,Jakarta Utara,"Jl. Jembatan Tiga Blok F No. 4-5, Penjaringan, Penjaringan, Jakarta Utara 14440",Penjaringan,Penjaringan,25/2013,25/03/2013,,PJ/Selama Masih Beroperasi
H. M. RIZKI PRATAMA,"Jl. Kebagusan IV No. 45 RT010/RW04, Kebagusan, Pasar Minggu, Jakarta Selatan 10520","(021) 8303744, (021) 6411923",,,Pertamina,SPBU,34-14408,2003,JU/165/2008/II/P,Jakarta Utara,"Jl. Budi Mulia, Pademangan Barat, Pademangan, Jakarta Utara 14420",Pademangan Barat,Pademangan,155/2009,24/11/2009,24/11/2010,Expired
PT. SINAR PEDOMAN ABADI,"Jl. Abdul Muis No. 46, Petojo Selatan, Gambir, Jakarta Pusat 10160","(021) 3861010, (021) 3861034",,,Pertamina,SPBU,34-14409,,JU/005/2006/II,Jakarta Utara,"Jl. Kapuk Kamal No. 133, Kamal Muara, Penjaringan, Jakarta Utara 14470",Kamal Muara,Penjaringan,55/2011,5/04/2011,5/04/2016,Perpanjangan
PT. METRO PRIMA INVESTAMA,"Jl. Jembatan III Blok F4/5, Penjaringan, Penjaringan, Jakarta Utara 14460","(021) 5349884, (021) 5349939",,Wiliam Widyanata,Pertamina,SPBU,34-14410,,JU/024/2006/II,Jakarta Utara,"Jl. Kapuk Muara RT001/RW03, Kamal Muara, Penjaringan, Jakarta Utara 14470",Kamal Muara,Penjaringan,13/2012,21/02/2012,,PJ/Selama Masih Beroperasi
PT. JAKARTA MANAJEMEN ESTATINDO,"Jl. Taman Pluit Putri Dalam No. 1A, Pluit, Penjaringan, Jakarta Utara 14450","(021) 66601772, (021) 66601771",,Dodi Hadiansyah,Pertamina,SPBU,34-14411,,JU/207/2007/II,Jakarta Utara,"Jl. Kapuk Kamal Raya RT001/RW02, Kamal Muara, Penjaringan, Jakarta Utara 14470",Kamal Muara,Penjaringan,85/2012,11/10/2012,,PJ/Selama Masih Beroperasi
PT. HAJI HARUN HARAHAP,"Jl. KH. Wahid Hasyim No. 48B Lt. 1, Kebon Sirih, Menteng, Jakarta Pusat 10340",,,,Pertamina,SPBU,34-14412,,JU/036/2007/II,Jakarta Utara,"Jl. Tuna Raya, Perum Prasarana Perikanan Samudera Baru, Penjaringan, Penjaringan, Jakarta Utara  ",Penjaringan,Penjaringan,276/2007,31/05/2007,31/05/2012,Expired
