nama_pemilik_perusahaan,alamat_pemilik_perusahaan,telepon,npwp_perusahaan,direktur_perusahaan,mitra,jenis,no_spbu,mulai_beroperasi,kode_spbu,wilayah_spbu,alamat_spbu,kelurahan_spbu,kecamatan_spbu,izin_terakhir,tanggal_izin,berlaku_sampai,keterangan
NY. GEMINING LESMANAWATI,"Jl. Pluit Timur Raya No. 22-23, Pluit, Jakarta Utara",(021) 8194238,,,Pertamina,SPBU,34-13301,,JT/151/2008/II/P,Jakarta Timur,"Jl. DI. Panjaitan, Cipinang Besar Selatan, Jatinegara, Jakarta Timur 13410",Cipinang Besar Selatan,Jatinegara,300/2008,12/05/2008,12/05/2009,Tidak Beroperasi (Sudah Dibongkar)
H. M. NURI THAHIR,"Jl. Otista III No. 39, Jatinegara, Jakarta Timur ",(021) 8197518,,,Pertamina,SPBU,34-13302,,JT/154/2008/II/P,Jakarta Timur,"Jl. DI. Panjaitan Kav. 25, Cipinang Cempedak, Jatinegara, Jakarta Timur 13330",Cipinang Cempedak,Jatinegara,377/2008,12/06/2008,12/06/2009,Expired
PRIMKOPPOL,,,,,Pertamina,SPBU,34-13304,,,Jakarta Timur,"Jl. DI. Panjaitan, Jakarta Timur",,,,,,Belum Urus Izin
PT. SINAR PEDOMAN ABADI,"Jl. Abdul Muis No. 46, Petojo Selatan, Gambir, Jakarta Pusat 10160","(021) 3861010, (021) 3861034",,,Pertamina,SPBU,34-13305,,JT/008/2006/II,Jakarta Timur,"Jl. Otista Raya No. 64, Bidara Cina, Jatinegara, Jakarta Timur 13330",Bidara Cina,Jatinegara,104/2011,4/08/2011,4/08/2016,Perpanjangan
PT. VIRGO SARANATRANS PRAKARSA,"Jl. Taman Buaran indah I Blok A 109 RT001/RW14, Klender, Duren Sawit, Jakarta Timur 13470",(021) 4897333,,,Pertamina,SPBU,34-13306,,JT/058/2007/II,Jakarta Timur,"Jl. Raya Jatinegara Timur No. 54 RT014/RW03, Balimester, Jatinegara, Jakarta Timur 13310",Balimester,Jatinegara,Aug-13,2/05/2013,,PJ/Selama Masih Beroperasi
PT. MAGENDRA SHATRA PRATAMA,"Jl. KH. Abdullah Syafei (Jl. Lapangan Roos), Bukit Duri, Tebet, Jakarta Selatan 12480",,,,Pertamina,SPBU,34-13307,,JT/222/2008/II,Jakarta Timur,"Jl. Jatinegara Barat No. 83, Balimester, Jatinegara, Jakarta Timur 13310",Balimester,Jatinegara,541/2008,7/08/2008,7/08/2013,Expired
USAHA DAGANG (UD) (Ex. Dra. Hasiyanna S. Rainier),"Jl. Inspeksi Saluran Kalimalang, Duren Sawit, Duren Sawit, Jakarta Timur 13440",(021) 8613635,,,Pertamina,SPBU,34-13401,,JT/092/2008/II/P,Jakarta Timur,"Jl. Inspeksi Saluran Kalimalang, Duren Sawit, Duren Sawit, Jakarta Timur 13440",Duren Sawit,Duren Sawit,89/2009,17/07/2009,17/07/2014,Perpanjangan (3 Bulan Lagi Expired)
PT. DIDI SURYADI SUWITA (Ex. H. Didi Suryadi),"Jl. Pahlawan Revolusi No. 147 RT001/RW07, Pondok Bambu, Duren Sawit, Jakarta Timur",(021) 8615924,,,Pertamina,SPBU,34-13402,,JT/121/2008/II/P,Jakarta Timur,"Jl. Poncol Raya RT002/RW01, Pondok Bambu, Duren Sawit, Jakarta Timur 13430",Pondok Bambu,Duren Sawit,550/2008,13/08/2008,13/08/2009,Expired (Berkas Proses)
PT. MITRA BONIAGA PRAKARSA (Ex. Ny. Tioma Pardede),"Jl. Pahlawan Revolusi No. 3 RT003/RW04, Pondok Bambu, Duren Sawit, Jakarta Timur 13430",(021) 8603501,,,Pertamina,SPBU,34-13403,,JT/051/2007/II/P,Jakarta Timur,"Jl. Pahlawan Revolusi No. 3, Pondok Bambu, Duren Sawit, Jakarta Timur 13430",Pondok Bambu,Duren Sawit,38/2010,29/03/2010,29/03/2015,Perpanjangan
PT. OLINDO CITRA NUSA,"Jl. Gunung Sahari No. 57 E-F RT001/RW01, Kemayoran, Jakarta Pusat",(021) 8641747,,,Pertamina,SPBU,34-13404,,JT/123/2008/II/P,Jakarta Timur,"Jl. Inspeksi Kalimalang No. 42, Pondok Kelapa, Duren Sawit, Jakarta Timur 13450",Pondok Kelapa,Duren Sawit,389/2008,19/06/2008,19/06/2009,Expired
DRG. HERMES PINDAR,,,,,Pertamina,SPBU,34-13405,,,Jakarta Timur,"Jl. I Gusti Ngurah Rai, Jakarta Timur ",,,,,,Tidak Beroperasi
PT. ZONA TOTAL SOLUTION (Ex. H. Moh. Ridwan),"Jl. Bintara Jaya No. 1 RT001/RW04, Pondok Kopi, Duren Sawit, Jakarta Timur 13460","(021) 98568990, (021) 8648590",,"Much. Yazid R, SH",Pertamina,SPBU,34-13406,1990,JT/172/2008/II/P,Jakarta Timur,"Jl. Bintara Jaya No. 1 RT001/RW04, Pondok Kopi, Duren Sawit, Jakarta Timur 13460",Pondok Kopi,Duren Sawit,84/2012,11/10/2012,,PJ/Selama Masih Beroperasi
PT. VIRGO SARANATRANS PRAKASA (Ex. PT. Buaran Batavia Jaya),"Jl. Taman Buaran indah I Blok A 109 RT001/RW14, Klender, Duren Sawit, Jakarta Timur 13470","(021) 8607323, (021) 8607324",,,Pertamina,SPBU,34-13407,,JT/068/2008/II/P,Jakarta Timur,"Jl. Radin Inten II No. 49 Buaran, Duren Sawit, Duren Sawit, Jakarta Timur 13440",Duren Sawit,Duren Sawit,110/2010,14/09/2010,14/09/2015,Perpanjangan
PT. USAYANA,,,,,Pertamina,SPBU,34-13408,,,Jakarta Timur,"Jl. Bekasi Klender, Jakarta Timur ",,,,28/04/2008,,Belum Urus Izin
NY. KUSTIYAH,"Billy Moon CG III/8, Duren Sawit, Jakarta Timur",(021) 8602531,,,Pertamina,SPBU,34-13409,,JT/173/2008/II/P,Jakarta Timur,"Jl. Radin Inten No. 17, Duren Sawit, Duren Sawit, Jakarta Timur 13440",Duren Sawit,Duren Sawit,424/2008,27/06/2008,27/06/2009,Expired
PT. ANGGALAWE JAYA PS,"Jl. Cimerak Selatan No. 15 RT006/RW16, Duren Sawit, Duren Sawit, Jakarta Timur 13440","(021) 8615929, (021) 8613616",,,Pertamina,SPBU,34-13410,,JT/137/2008/II/P,Jakarta Timur,"Jl. Raden Intan II, Duren Sawit, Duren Sawit, Jakarta Timur 13440",Duren Sawit,Duren Sawit,85/2010,30/07/2010,30/07/2015,Perpanjangan
PT. CITRA TANJUNG MANDIRI (Ex. Leonova Marlius),"Jl. Kemandoran V No. 23 RT004/RW03, Grogol Utara, Kebayoran Lama, Jakarta Selatan 12210",(021) 8657283,,,Pertamina,SPBU,34-13411,,JT/119/2008/II/P,Jakarta Timur,"Jl. Raya Pondok Kelapa No. 1 RT001/RW01, Pondok Kelapa, Duren Sawit, Jakarta Timur 13450",Pondok Kelapa,Duren Sawit,162/2009,9/12/2009,9/12/2014,Perpanjangan
DRS. H. ERWANCIK MUROD,"Jl. Siaga Raya No. 11, Pejaten Barat, Jakarta Selatan",(021) 86604646,,,Pertamina,SPBU,34-13412,,JT/128/2008/II/P,Jakarta Timur,"Jl. Basuki Rahmat No. 9 RT002/RW09, Pondok Bambu, Duren Sawit, Jakarta Timur 13430",Pondok Bambu,Duren Sawit,298/2008,12/05/2008,12/05/2009,Expired
CV. HATIDJAH (Ex. Ny. Hatidjah),"Jl. Raya Cipinang Jaya No. 142-146 RT004/RW010, Cipinang Muara, Jatinegara, Jakarta Timur 13420",(021) 85903905,31.557.907.8-002.000,Kurnia Febriandi,Pertamina,SPBU,34-13413,,JT/363/2014/II,Jakarta Timur,"Jl. Raya Cipinang Jaya No. 142-146 RT004/RW010, Cipinang Muara, Jatinegara, Jakarta Timur 13420",Cipinang Muara,Jatinegara,48/2014,2/05/2014,,PTH/Selama Msh Beroperasi
PT. GIGA INTRAX,"Gd. Victoria Centre Lt. 2 Jl. Sultan Hasanudin Kav. 47-51, Melawai, Kebayoran Baru, Jakarta Selatan 12160","(021) 7255551, (021) 7255550",,,Pertamina,SPBU,34-13414,,JT/143/2008/II/P,Jakarta Timur,"Jl. Basuki Rahmat No. 64, Cipinang Besar Selatan, Jatinegara, Jakarta Timur 13410",Cipinang Besar Selatan,Jatinegara,128/2010,20/10/2010,20/10/2015,Perpanjangan
PT. PUTRASA MANDIRI,"Jl. Waru No. 6 RT002/RW09, Rawamangun, Jakarta Timur",(021) 86612375,,,Pertamina,SPBU,34-13415,,JT/065/2008/II/P,Jakarta Timur,"Jl. Kol. Soekamto No. 1A RT004/RW02, Pondok Kopi, Duren Sawit, Jakarta Timur 13460",Pondok Kopi,Duren Sawit,147/2010,17/12/2010,17/12/2015,Perpanjangan
PT. CIPTACATWARI KALIHANAM (Ex. Adhitya Rachman H.Y),"Jl. Jend. Pol. RS. Sukamto No. 26, Malaka Sari, Duren Sawit, Jakarta Timur 13460",(021) 86612448,02.036.841.1-008.000,Adhitya Rachman Mario Y,Pertamina,SPBU,34-13416,2008,JT/251/2009/II/P,Jakarta Timur,"Jl. Jend. Pol, Rs. Sukamto No. 26, Malaka Sari, Duren Sawit, Jakarta Timur 13460",Malaka Sari,Duren Sawit,55/2014,20/05/2014,,PJ/Selama Masih Beroperasi
PT. FAJAR SETIA MANDIRI,"Ruko Cempaka Mas Blok K-35 Jl. Letjend. Soeprapto, Cempaka Baru, Kemayoran, Jakarta Pusat 10640","(021) 42884730, (021) 42889425",,,Pertamina,SPBU,34-13417,2004,JT/070/2008/II/P,Jakarta Timur,"Jl. DI Panjaitan, Kebon Nanas, Cipinang Besar Selatan, Jatinegara, Jakarta Timur 13410",Cipinang Besar Selatan,Jatinegara,111/2011,15/08/2011,15/08/2016,Perpanjangan
PT. INDOMITRA SARANA UTAMA,"Jl. H. Naman No. 29, Pondok Kelapa, Duren Sawit, Jakarta Timur 13450","(021) 8651964, (021) 8657673",,,Pertamina,SPBU,34-13418,,JT/072/2008/II/P,Jakarta Timur,"Jl. H. Naman No. 29, Pondok Kelapa, Duren Sawit, Jakarta Timur 13450",Pondok Kelapa,Duren Sawit,20/2010,22/02/2010,22/02/2015,Perpanjangan
PT. PUALAM TIRTA UTAMA (Ex. PT. RIJEN PETROLEUM),"Jl. Sentra Bisnis Artha Gading Blok D Kav. No. 2, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara 14240","(021) 45847825, (021) 45846561",31.217.015.2-043.000,Lince Perwata,Pertamina,SPBU,34-13419,,JT/010/2006/II,Jakarta Timur,"Jl. Raden Inten No. 60, Duren Sawit, Duren Sawit, Jakarta Timur 13440",Duren Sawit,Duren Sawit,58/2014,2/06/2014,,PJ/Selama Masih Beroperasi
PT. ANGGALAWE JAYA PETROL STATION ,"Jl. Cimerak Selatan No. 15 RT006/RW16, Duren Sawit, Duren Sawit, Jakarta Timur 13440","(021) 86612579, (021) 8613616",,,Pertamina,SPBU,34-13420,,JT/021/2006/II,Jakarta Timur,"Jl. Raya Kalimalang / Jl. Cipinang Indah I, Cipinang Muara, Jatinegara, Jakarta Timur 13420",Cipinang Muara,Jatinegara,135/2011,9/11/2011,,PJ/Selama Masih Beroperasi
CV. HERMA MUDA,"Komplek PTB Blok L. II No. 9 RT001/RW08, Duren Sawit, Duren Sawit, Jakarta Timur 13440",(021) 8615320,,,Pertamina,SPBU,34-13421,,JT/254/2009/II,Jakarta Timur,"Jl. Raya Terusan I gusti Ngurah Rai, Kp. Bojong Rangkong RT001/RW011, Pondok Kopi, Duren Sawit, Jakarta Timur 13450",Pondok Kopi,Duren Sawit,104/2009,6/08/2009,6/08/2014,Baru
PT. MANNDALA DHVAYA MANIKA,"Jl. Raya Kali Malang Komplek Billy & Moon Blok Q-BZ No. 2B, Pondok Kelapa, Duren Sawit, Jakarta Timur 13450","(021) 8643594, (021) 8645008",,,Pertamina,SPBU,34-13422,,JT/256/2009/II,Jakarta Timur,"Jl. Raya Kali Malang, Komplek Billy & Moon Blok Q-BZ No. 2B, Pondok Kelapa, Duren Sawit, Jakarta Timur 13450",Pondok Kelapa,Duren Sawit,102/2009,6/08/2009,6/08/2014,Baru
H. M. TAUFIQ KIEMAS,"Jl. Kebagusan IV No. 45 RT010/RW04, Kebagusan, Pasar Minggu, Jakarta Selatan 12520","(021) 8303744, (021) 8413141",,,Pertamina,SPBU,34-13501,1989,JT/163/2008/II/P,Jakarta Timur,"Jl. Condet Raya No. 321, Bale Kambang, Kramat Jati, Jakarta Timur 13530",Bale Kambang,Kramat Jati,152/2009,24/11/2009,24/11/2010,Expired
PT. NANGKOK SERE ENERGY (Ex. Tudi Syahbana),"Jl. Bintaro Permai No. 45 RT006/RW05, Pesanggrahan, Pesanggrahan, Jakarta Selatan 12320",(021) 7341556,,,Pertamina,SPBU,34-13502,2007,JT/052/2007/II,Jakarta Timur,"Jl. Raya Condet No. 9, Batu Ampar, Kramat Jati, Jakarta Timur 13520",Batu Ampar,Kramat Jati,156/2009,26/11/2009,26/11/2014,Perpanjangan
PT. INDAH PERTIWI MITRASEJATI,"Jl. Raya TMII Pintu I, Pinang Ranti, Makasar, Jakarta Timur 13560","(021) 87795345, (021) 87795344",,,Pertamina,SPBU,34-13503,1998,JT/205/2008/II/P,Jakarta Timur,"Jl. Raya TMII Pintu I, Pinang Ranti, Makasar, Jakarta Timur 13560",Pinang Ranti,Makasar,14/2011,17/01/2011,17/01/2016,Perpanjangan
248 PETRO STATION,"Jl. Raya Pondok Gede No. 39, Pinang Ranti, Jakarta Timur",(021) 80878702,,,Pertamina,SPBU,34-13504,,JT/031/2007/II,Jakarta Timur,"Jl. Raya Pondok Gede No. 39 RT002/RW01, Pinang Ranti, Makasar, Jakarta Timur ",Pinang Ranti,Makasar,273/2007,31/05/2007,31/05/2012,Expired
PT. GIGA INTRAX,"Gd. Victoria Centre Lt.2 Jl. Sultan Hasanudin Kav.47-51, Melawai, Kebayoran Baru, Jakarta Selatan 12160",(021) 7255551,01.325.824.9-062.000,"Wahyu Raharjo, MBA",Pertamina,SPBU,34-13505,,JT/225/2008/II,Jakarta Timur,"Jl. Raya Bogor No. 18 RT009/RW10, Kramat Jati, Kramat Jati, Jakarta Timur 13510",Kramat Jati,Kramat Jati,May-14,21/01/2014,,PJ/Selama Masih Beroperasi
PT. ABIRAWA,"Jl. Pinang Ranti II No. 54 RT009/RW01, Pinang Ranti, Makasar, Jakarta Timur 13560","(021) 80874500, (021) 80874501",,,Pertamina,SPBU,34-13506,,JT/288/2010/II,Jakarta Timur,"Jl. Raya Depnaker No. 80 RT018/RW01, Pinang Ranti, Makasar, Jakarta Timur 13560",Pinang Ranti,Makasar,89/2010,6/08/2010,6/08/2015,Baru
TUA POLIN P. HARAHAP,"Jl. Bango II No. 29A RT006/RW03, Cilandak, Jakarta Selatan",(021) 8095438,,,Pertamina,SPBU,34-13601,,JT/107/2008/II/P,Jakarta Timur,"Jl. Letjen Sutoyo RT004/RW014, Cililitan, Kramat Jati, Jakarta Timur 13640",Cililitan,Kramat Jati,325/2008,21/05/2008,21/05/2009,Expired
PT. TENAGA ALAM UTAMA (Ex. Ir. Yeddy Sudrajat),"Jl. Dewi Sartika No. 184, Cawang, Kramat Jati, Jakarta Timur 13630",(021) 80885628,,,Pertamina,SPBU,34-13602,,JT/097/2008/II/P,Jakarta Timur,"Jl. Dewi Sartika No. 184 RT005/RW012, Cawang, Kramat Jati, Jakarta Timur 13630",Cawang,Kramat Jati,81/2009,10/07/2009,10/07/2014,Perpanjangan (3 Bulan Lagi Expired)
H. INDRAWANSYAH,,,,,Pertamina,SPBU,34-13603,,,Jakarta Timur,"Jl. Raya Jatiwaringin, Jakarta Timur ",,,,,,Belum Urus Izin
DRS. H. ERWANCIK MUROD,"Jl. Siaga Raya No. 11, Pejaten Barat, Jakarta Selatan",(021) 8090400,,,Pertamina,SPBU,34-13604,,JT/127/2008/II/P,Jakarta Timur,"Jl. Dewi Sartika No. 232, Cililitan, Kramat Jati, Jakarta Timur 13640",Cililitan,Kramat Jati,299/2008,12/05/2008,12/05/2009,Expired
PT. DELTA KHARISMA ABADI,"Jl. Kesehatan Raya No. 15 RT003/RW006, Bintaro, Pesanggrahan, Jajarta Selatan, 12330",(021) 73886352,,,Pertamina,SPBU,34-13605,2009,JT/249/2009/II/P,Jakarta Timur,"Jl. Halim Perdana Kusumah RT011/RW08, Kebon Pala, Makasar, Jakarta Timur 13650",Kebon Pala,Makasar,47/2009,16/04/2009,16/04/2014,Expired
NY. H.R. HALIMA TUSSADIYAH,"Jl. Raya Bogor Km. 28 RT004/RW07, Pasar Rebo, Jakarta Timur ",(021) 8717738,,,Pertamina,SPBU,34-13701,,JT/084/2008/II/P,Jakarta Timur,"Jl. Lapangan Tembak, Cibubur, Ciracas, Jakarta Timur 13720",Cibubur,Ciracas,276/2008,29/04/2008,29/04/2009,Tidak Beroperasi
PT. PENTA KUSALA SEKAWAN,"Jl. Letjend. TB. Simatupang No. 14, Kampung Gedong, Pasar Rebo, Jakarta Timur 13760",,,,Pertamina,SPBU,34-13702,,JT/281/2010/II/P,Jakarta Timur,"Jl. Letjend. TB. Simatupang No. 14, Kampung Gedong, Pasar Rebo, Jakarta Timur 13760",Kampung Gedong,Pasar Rebo,104/2010,30/08/2010,30/08/2011,Expired
PT. LIMA SELARAS UTAMA ABADI (Ex. CV. Panca Jaya Makmur),"Jl. Raya Ciracas No. 107, Ciracas, Ciracas, Jakarta Timur 13740",(021) 8717962,,,Pertamina,SPBU,34-13703,,JT/101/2008/II/P,Jakarta Timur,"Jl. Raya Ciracas No. 107, Ciracas, Ciracas, Jakarta Timur 13740",Ciracas,Ciracas,19/2011,27/01/2011,27/01/2016,Perpanjangan
PT. MITA RIZKI BAROKAH (Ex. Drs. Misbah Hasan),"Jl. Raya Bogor Km. 24,7 RT004/RW07, Susukan, Ciracas, Jakarta Timur 13750",(021) 8403170,,,Pertamina,SPBU,34-13704,,JT/089/2008/II/P,Jakarta Timur,"Jl. Raya Bogor Km. 24, 7 RT004/RW07, Susukan, Ciracas, Jakarta Timur 13750",Susukan,Ciracas,150/2010,23/12/2010,23/12/2015,Perpanjangan
CV. DELIMA BERKAH,"Jl. Raya Jambore No. 8, Cibubur, Ciracas, Jakarta Timur 13720","(021) 84996558, (021) 84996557",,,Pertamina,SPBU,34-13706,,JT/140/2008/II/P,Jakarta Timur,"Jl. Raya Jambore No. 8, Cibubur, Ciracas, Jakarta Timur 13720",Cibubur,Ciracas,30/2011,2/03/2011,2/03/2016,Perpanjangan
PT. GRACIA SETIA SEJAHTERA (Ex. Ferry Setyadi),"Ruko Cempaka Mas Blok K-35 Jl. Letjend. Soeprapto, Sumur Batu, Kemayoran, Jakarta Pusat 10640","(021) 42884730, (021) 42889425",03.190.335.4-027.000,Lucy Setyadi,Pertamina,SPBU,34-13707,,JT/071/2008/II/P,Jakarta Timur,"Jl. Radar Auri RT004/RW014, Cibubur, Ciracas, Jakarta Timur 13720",Cibubur,Ciracas,33/2014,1/04/2014,,PJ/Selama Masih Beroperasi
PT. PELITA MENARA (Ex. Ny. Kastina Damanik),"Jl. Utan Kayu Raya No. 63 RT011/RW05, Utan Kayu, Matraman, Jakarta Timur 12440","(021) 8508992, (021) 8509094",,Ny. Kastina Damanik,Pertamina,SPBU,34-13708,,JT/293/2010/II,Jakarta Timur,"Jl. Kelapa Dua Wetan RT008/RW01, Kelapa Dua Wetan, Ciracas, Jakarta Timur 13730",Kelapa Dua Wetan,Ciracas,56/2012,20/07/2012,,PJ/Selama Masih Beroperasi
PT. DHARMA PERTIWI NUSANTARA (Ex. Ita Sulistyantini),"Jl. Raya PKP No. 1 RT004/RW012, Cibubur, Ciracas, Jakarta Timur ","(021) 70984617, (021) 87720742",03.236.059.6-009.000,Ita Sulistyantini,Pertamina,SPBU,34-13709,,JT/173/2008/II/P,Jakarta Timur,"Jl. Raya PKP No. 1 RT004/RW012, Cibubur, Ciracas, Jakarta Timur 13720",Cibubur,Ciracas,26/2014,20/03/2014,,PJ/Selama Masih Beroperasi
KOPERASI TRANSPORT DAN WISATA INDONESIA INDAH,"Jl. Raya Taman Mini Pintu II, Pinang Ranti, Makasar, Jakarta Timur 13560","(021) 87793518, (021) 8409215",,,Pertamina,SPBU,34-13801,1998,JT/232/2008/II/P,Jakarta Timur,"Jl. Raya Taman Mini Pintu II, Pinang Ranti, Makasar, Jakarta Timur 13560",Pinang Ranti,Makasar,Dec-11,17/01/2011,17/01/2016,Perpanjangan
PT. CATUR PUTRA BERKAH (Ex. Ny. HME R. INDRASARI),"Jl. Raya Pondok Gede No. 40 RT. 02/RW001, Lubang Buaya, Cipayung, Jakarta Timur","(021) 8400156, (021) 87791172",03.258.265.2-009.000,"Prabandoro Putrayadi, SE",Pertamina,SPBU,34-13802,,JT/028/2007/II,Jakarta Timur,"Jl. Raya Pondok Gede No. 40, Lubang Buaya, Cipayung, Jakarta Timur 13810",Lubang Buaya,Cipayung,102/2014,21/08/2014,,PJ/Selama Masih Beroperasi
PT. TENAGA ALAM UTAMA (Ex. Hj. Suyati),"Jl. Dewi Sartika No. 184, Cawang, Kramat Jati, Jakarta Timur 13630",(021) 84590604,,,Pertamina,SPBU,34-13803,,JT/096/2008/II/P,Jakarta Timur,"Jl. Raya Bina Marga RT004/RW03, Ceger, Cipayung, Jakarta Timur 13820",Ceger,Cipayung,91/2009,23/07/2009,23/07/2014,Perpanjangan (3 Bulan Lagi Expired)
PT. USAHA BERKAH BERSAMA,"Jl. Supriadi, Susukan, Ciracas, Jakarta Timur 13750",(021) 8416964,,,Pertamina,SPBU,34-13804,,JT/157/2008/I/P,Jakarta Timur,"Jl. Supriadi (Ex. TB. Simatupang), Susukan, Ciracas, Jakarta Timur 13750",Susukan,Ciracas,139/2010,19/11/2010,19/11/2015,Perpanjangan
CV. DONI YANUAR (Ex. Doni Januar),"Jl. Pagelarang No. 47 RT004/RW01, Setu, Cipayung, Jakarta Timur 13880","(021) 84996558, (021) 84996557",,,Pertamina,SPBU,34-13805,,JT/104/2008/II/P,Jakarta Timur,"Jl. Pagelarang No. 47 RT004/RW01, Setu, Cipayung, Jakarta Timur 13880",Setu,Cipayung,136/2010,11/11/2010,11/11/2015,Perpanjangan
PT. ARSA CITRA PRIMA,"Jl. Outer Ring Road No. 27, Ciracas, Jakarta Timur",(021) 8403369,,,Pertamina,SPBU,34-13806,,JT/184/2008/II/P,Jakarta Timur,"Jl. Outer Ring Road No. 27, Kampung Rambutan, Ciracas, Jakarta Timur 13830",Kampung Rambutan,Ciracas,524/2008,31/07/2008,31/07/2010,Expired
CV. BOSTA OIL AND GAS ,"Jl. Raya Cilangkap/Samping Mesjid Al-Khoir No. 124 RT007/RW03, Cilangkap, Cipayung, Jakarta Timur 13870",(021) 8451303,,Ir. Bob Henry S. Simbolon,Pertamina,SPBU,34-13807,,JT/279/2010/II/P,Jakarta Timur,"Jl. Raya Cilangkap/Samping Mesjid Al-Khoir No. 124 RT007/RW03, Cilangkap, Cipayung, Jakarta Timur 13870",Cilangkap,Cipayung,95/2012,5/11/2012,,PJ/Selama Masih Beroperasi
PT. DHARMA GRAHA SEJAHTERA (Ex. Ita Sulistyantini),"Jl. Raya Cipayung RT008/RW01, Cipayung, Cipayung, Jakarta Timur 13840",(021) 84597828,,Ita Sulistyantini,Pertamina,SPBU,34-13808,,JT/185/2008/II/P,Jakarta Timur,"Jl. Raya Cipayung RT008/RW01, Cipayung, Cipayung, Jakarta Timur 13840",Cipayung,Cipayung,Jul-13,5/02/2013,,PJ/Selama Masih Beroperasi
PT. BIMARUNA ABADI,"Wisma Korindo Jl. MT. Haryono Kav. 62, Pancoran, Pancoran, Jakarta Selatan 12780","(021) 7975959, (021) 7976401",,,Pertamina,SPBU,34-13809,,JT/279/2010/II/P,Jakarta Timur,"Rest Area, Jl. Tol Jagorawi Km. 10 + 600 (A), Munjul, Cipayung, Jakarta Timur 13850",Munjul,Cipayung,53/2010,28/04/2010,28/04/2015,Baru
PT. EL-HAKIM BERSAUDARA (Ex. Lismanidar Evawati),"Jl. Bekasi Timur Raya No. 29, Cipinang, Pulogadung, Jakarta Timur 13240","(021) 4890477, (021) 47881665",,,Pertamina,SPBU,34-13901,,JT/102/2008/II/P,Jakarta Timur,"Jl. Bekasi Timur Raya No. 29 RT005/RW08, Cipinang, Pulogadung, Jakarta Timur 13240",Cipinang,Pulogadung,126/2010,20/10/2010,13/01/1900,Perpanjangan
PT. EMPAT DARA NUSANTARA,"Jl. Raya Bekasi Km. 18 No. 60, Jatinegara, Cakung, Jakarta Timur 13930",(021) 46864341,,Hj. Piping Sopinah,Pertamina,SPBU,34-13902,,JT/331/2012/II,Jakarta Timur,"Jl. Raya Bekasi Km. 18 No. 60, Jatinegara, Cakung, Jakarta Timur 13930",Jatinegara,Cakung,48/2012,23/06/2012,,Tidak Beroperasi (Berubah Jd Spbg)
CV. MITRA NIAGA KORPORASI (Ex. Ny. Ati Ratisah),,(021) 4604847,,,Pertamina,SPBU,34-13903,,JT/365/2014/II,Jakarta Timur,"Jl. Raya Penggilingan RT006/RW06, Penggilingan, Cakung, Jakarta Timur 13940",Penggilingan,Cakung,93/2014,15/07/2014,,PTH/Selama Msh Beroperasi
CV. MITRA NIAGA KORPORASI (Ex. Ny. Ati Ratisah),,,,,Pertamina,SPBU,34-13905,,JT/364/2014/II,Jakarta Timur,"Jl. Raya Pulogebang RT003/RW004, Pulogebang, Cakung, Jakarta Timur 13950",Pulogebang,Cakung,94/2014,15/07/2014,,PTH/Selama Msh Beroperasi
SETIADI WIDJAJA,"Jl. Pluit Timur Raya No. 22-23, Pluit, Jakarta Utara",(021) 46834479,,,Pertamina,SPBU,34-13906,,JT/150/2008/II/P,Jakarta Timur,"Jl. Raya Cakung Cilincing, Cakung Timur, Cakung, Jakarta Timur 13910",Cakung Timur,Cakung,304/2008,12/05/2008,12/05/2009,Expired
